timestamp,user_id,action_category,action_type,duration_seconds
2024-04-02 21:21:10.694115,USR2045,platform_exploration,view_features,196
2024-04-02 23:50:50.472761,USR2033,platform_exploration,view_features,523
2024-04-03 00:09:24.258988,USR2043,platform_exploration,view_features,101
2024-04-03 03:03:13.781762,USR2074,platform_exploration,view_features,196
2024-04-03 05:34:36.083667,USR2045,content_management,organize_content,239
2024-04-03 05:42:39.857591,USR2011,course_creation,publish_course,236
2024-04-03 06:17:49.827526,USR2010,platform_exploration,view_features,350
2024-04-03 06:29:23.104729,USR2115,platform_exploration,view_features,128
2024-04-03 06:58:19.616049,USR2108,platform_exploration,view_features,311
2024-04-03 08:50:44.425136,USR2043,platform_exploration,view_features,222
2024-04-03 08:52:46.633108,USR2033,user_management,create_group,416
2024-04-03 12:19:17.466511,USR2074,platform_exploration,view_features,329
2024-04-03 13:15:07.684614,USR2148,analytics,view_reports,546
2024-04-03 13:30:53.370060,USR2045,platform_exploration,view_features,141
2024-04-03 13:56:48.974946,USR2010,platform_exploration,view_features,219
2024-04-03 16:03:27.655364,USR2103,platform_exploration,view_features,195
2024-04-03 16:44:25.347150,USR2115,platform_exploration,view_features,195
2024-04-03 16:57:30.364284,USR2103,platform_exploration,view_features,125
2024-04-03 17:09:56.139257,USR2062,platform_exploration,view_features,138
2024-04-03 17:31:28.024399,USR2124,platform_exploration,view_features,302
2024-04-03 18:10:38.724551,USR2043,content_management,create_document,114
2024-04-03 18:39:48.102596,USR2148,platform_exploration,view_features,314
2024-04-03 18:43:01.340041,USR2033,platform_exploration,view_features,315
2024-04-03 19:36:22.828550,USR2011,platform_exploration,view_features,287
2024-04-03 20:39:31.297244,USR2124,platform_exploration,view_features,215
2024-04-03 22:41:35.182428,USR2010,platform_exploration,view_features,221
2024-04-03 23:47:53.238945,USR2115,platform_exploration,view_features,279
2024-04-04 03:17:53.922490,USR2115,platform_exploration,view_features,261
2024-04-04 03:20:50.846156,USR2010,content_management,create_document,244
2024-04-04 03:42:38.234417,USR2123,platform_exploration,view_features,252
2024-04-04 04:20:04.650296,USR2103,platform_exploration,view_features,338
2024-04-04 04:20:06.404351,USR2032,course_creation,publish_course,190
